University_link,University_Name,Location,T.H.E.R (2018),Top.U.R(2018),U.S. News & World Report.R(2018)
https://www.bachelorsportal.com/universities/155/university-of-reading.html,University of Reading,"Reading, United Kingdom",-,296,449
https://www.bachelorsportal.com/universities/11747/university-of-pittsburgh.html,University of Pittsburgh,"Pittsburgh, United States",-,303,317
https://www.bachelorsportal.com/universities/11966/beijing-jiaotong-university.html,Beijing Jiaotong University,"Beijing, China",-,306,97
https://www.bachelorsportal.com/universities/13132/university-of-buenos-aires.html,University of Buenos Aires,"Buenos Aires, Argentina",-,306,-
https://www.bachelorsportal.com/universities/215/university-of-st-andrews.html,University of St Andrews,"St Andrews, United Kingdom",-,306,-
https://www.bachelorsportal.com/universities/81/vrije-universiteit-amsterdam.html,Vrije Universiteit Amsterdam,"Amsterdam, Netherlands",-,314,586
https://www.bachelorsportal.com/universities/554/university-of-gttingen.html,University of Göttingen,"Göttingen, Germany",-,318,-
https://www.bachelorsportal.com/universities/525/university-of-geneva.html,University of Geneva,"Genève, Switzerland",-,318,-
https://www.bachelorsportal.com/universities/37/university-of-groningen.html,University of Groningen,"Groningen, Netherlands",-,318,271
https://www.bachelorsportal.com/universities/27/budapest-university-of-technology-and-economics.html,Budapest University of Technology and Economics,"Budapest IX. kerület, Hungary",-,322,463
https://www.bachelorsportal.com/universities/45/university-of-bonn.html,University of Bonn,"Bonn, Germany",-,322,-
https://www.bachelorsportal.com/universities/14478/bauman-moscow-state-technical-university.html,Bauman Moscow State Technical University,"Moscow, Russia",-,325,-
https://www.bachelorsportal.com/universities/9466/the-hebrew-university-of-jerusalem.html,The Hebrew University of Jerusalem,"Jerusalem, Israel",-,325,-
https://www.bachelorsportal.com/universities/10427/vilnius-gediminas-technical-university.html,Vilnius Gediminas Technical University,"Vilnius, Lithuania",-,325,543
https://www.bachelorsportal.com/universities/11964/illinois-institute-of-technology.html,Illinois Institute of Technology,"Chicago, United States",-,335,251
https://www.bachelorsportal.com/universities/13080/jilin-university.html,Jilin University,"Changchun, China",-,335,277
https://www.bachelorsportal.com/universities/385/national-and-kapodistrian-university-of-athens.html,National and Kapodistrian University of Athens,"Athens, Greece",-,335,425
